cell_id,arm,trial_index,seed,param_Dpd,param_alpha,param_R,Tproc_s,Ttx_s,Bpw_bytes,eta,deadline_s,Pcomplete,n_rounds,n_clients,status,duration_s,error
Dpd=10MB|R=20|alpha=0.5,Centralized,15,3602993548,10MB,0.5,20,8.850798797095194,8.850798797095194,10485760,1.0,4.194304,0,1,4,ok,8.851275444030762,
Dpd=10MB|R=20|alpha=0.5,FL,16,3208982766,10MB,0.5,20,16.680741903954186,16.68056810798589,8000000,0.5,4.194304,0,20,4,ok,16.68098545074463,
Dpd=10MB|R=20|alpha=0.5,Centralized,16,3208982766,10MB,0.5,20,8.84929761395324,8.84929761395324,10485760,1.0,4.194304,0,1,4,ok,8.849794149398804,
Dpd=10MB|R=20|alpha=0.5,FL,17,2561998779,10MB,0.5,20,16.680417174007744,16.68024372914806,8000000,0.5,4.194304,0,20,4,ok,16.680654764175415,
Dpd=10MB|R=20|alpha=0.5,Centralized,17,2561998779,10MB,0.5,20,8.849811626947485,8.849811626947485,10485760,1.0,4.194304,0,1,4,ok,8.850296974182129,
Dpd=10MB|R=20|alpha=0.5,FL,18,809965349,10MB,0.5,20,16.67981893196702,16.679649700643495,8000000,0.5,4.194304,0,20,4,ok,16.680054664611816,
Dpd=10MB|R=20|alpha=0.5,Centralized,18,809965349,10MB,0.5,20,8.849577488959767,8.849577488959767,10485760,1.0,4.194304,0,1,4,ok,8.850062131881714,
Dpd=10MB|R=20|alpha=0.5,FL,19,3046862006,10MB,0.5,20,16.6792546560755,16.679081390728243,8000000,0.5,4.194304,0,20,4,ok,16.679481029510498,
Dpd=10MB|R=20|alpha=0.5,Centralized,19,3046862006,10MB,0.5,20,8.848152830032632,8.848152830032632,10485760,1.0,4.194304,0,1,4,ok,8.848596811294556,
Dpd=10MB|R=50|alpha=0.5,FL,0,2756521406,10MB,0.5,50,41.635325837065466,41.635104152257554,20000000,0.5,4.194304,0,50,4,ok,41.63557767868042,
Dpd=10MB|R=50|alpha=0.5,Centralized,0,2756521406,10MB,0.5,50,8.845347534981556,8.845347534981556,10485760,1.0,4.194304,0,1,4,ok,8.845806360244751,
Dpd=10MB|R=50|alpha=0.5,FL,1,1013669525,10MB,0.5,50,41.63624294498004,41.63601865852252,20000000,0.5,4.194304,0,50,4,ok,41.636496782302856,
Dpd=10MB|R=50|alpha=0.5,Centralized,1,1013669525,10MB,0.5,50,8.855489535955712,8.855489535955712,10485760,1.0,4.194304,0,1,4,ok,8.855981588363647,
Dpd=10MB|R=50|alpha=0.5,FL,2,1384335735,10MB,0.5,50,41.6355884160148,41.635363347129896,20000000,0.5,4.194304,0,50,4,ok,41.63584303855896,
Dpd=10MB|R=50|alpha=0.5,Centralized,2,1384335735,10MB,0.5,50,8.84667982510291,8.84667982510291,10485760,1.0,4.194304,0,1,4,ok,8.847216844558716,
Dpd=10MB|R=50|alpha=0.5,FL,3,1047860662,10MB,0.5,50,41.636165152071044,41.63594396749977,20000000,0.5,4.194304,0,50,4,ok,41.636393785476685,
Dpd=10MB|R=50|alpha=0.5,Centralized,3,1047860662,10MB,0.5,50,8.844879776937887,8.844879776937887,10485760,1.0,4.194304,0,1,4,ok,8.845329523086548,
Dpd=10MB|R=50|alpha=0.5,FL,4,3182981121,10MB,0.5,50,41.635975255048834,41.635742149082944,20000000,0.5,4.194304,0,50,4,ok,41.63622808456421,
Dpd=10MB|R=50|alpha=0.5,Centralized,4,3182981121,10MB,0.5,50,8.84688769094646,8.84688769094646,10485760,1.0,4.194304,0,1,4,ok,8.84734559059143,
Dpd=10MB|R=50|alpha=0.5,FL,5,2127889294,10MB,0.5,50,41.63680714101065,41.63655391079374,20000000,0.5,4.194304,0,50,4,ok,41.637046575546265,
Dpd=10MB|R=50|alpha=0.5,Centralized,5,2127889294,10MB,0.5,50,8.845010058023036,8.845010058023036,10485760,1.0,4.194304,0,1,4,ok,8.845473766326904,
Dpd=10MB|R=50|alpha=0.5,FL,6,2036635416,10MB,0.5,50,41.63606702699326,41.63581984851044,20000000,0.5,4.194304,0,50,4,ok,41.636303663253784,
Dpd=10MB|R=50|alpha=0.5,Centralized,6,2036635416,10MB,0.5,50,8.847044642898254,8.847044642898254,10485760,1.0,4.194304,0,1,4,ok,8.847503185272217,
Dpd=10MB|R=50|alpha=0.5,FL,7,3174081638,10MB,0.5,50,41.63700858305674,41.63676512229722,20000000,0.5,4.194304,0,50,4,ok,41.63725543022156,
Dpd=10MB|R=50|alpha=0.5,Centralized,7,3174081638,10MB,0.5,50,8.848231206065975,8.848231206065975,10485760,1.0,4.194304,0,1,4,ok,8.848706722259521,
Dpd=10MB|R=50|alpha=0.5,FL,8,2961979503,10MB,0.5,50,41.63643194898032,41.63616334670223,20000000,0.5,4.194304,0,50,4,ok,41.63666868209839,
Dpd=10MB|R=50|alpha=0.5,Centralized,8,2961979503,10MB,0.5,50,8.846502623986453,8.846502623986453,10485760,1.0,4.194304,0,1,4,ok,8.84697699546814,
Dpd=10MB|R=50|alpha=0.5,FL,9,2576143690,10MB,0.5,50,41.63640535995364,41.636174709070474,20000000,0.5,4.194304,0,50,4,ok,41.636650800704956,
Dpd=10MB|R=50|alpha=0.5,Centralized,9,2576143690,10MB,0.5,50,8.84631856100168,8.84631856100168,10485760,1.0,4.194304,0,1,4,ok,8.84681224822998,
Dpd=10MB|R=50|alpha=0.5,FL,10,461780079,10MB,0.5,50,41.637382123968564,41.63715503865387,20000000,0.5,4.194304,0,50,4,ok,41.637629985809326,
Dpd=10MB|R=50|alpha=0.5,Centralized,10,461780079,10MB,0.5,50,8.848821711959317,8.848821711959317,10485760,1.0,4.194304,0,1,4,ok,8.849278926849365,
Dpd=10MB|R=50|alpha=0.5,FL,11,1540719587,10MB,0.5,50,41.63724272605032,41.63701611023862,20000000,0.5,4.194304,0,50,4,ok,41.637486696243286,
Dpd=10MB|R=50|alpha=0.5,Centralized,11,1540719587,10MB,0.5,50,8.847881196066737,8.847881196066737,10485760,1.0,4.194304,0,1,4,ok,8.848361015319824,
Dpd=10MB|R=50|alpha=0.5,FL,12,2716388582,10MB,0.5,50,41.63832480099518,41.63809911289718,20000000,0.5,4.194304,0,50,4,ok,41.638569831848145,
Dpd=10MB|R=50|alpha=0.5,Centralized,12,2716388582,10MB,0.5,50,8.848061684053391,8.848061684053391,10485760,1.0,4.194304,0,1,4,ok,8.84853982925415,
Dpd=10MB|R=50|alpha=0.5,FL,13,2873513115,10MB,0.5,50,41.63881870696787,41.63859200081788,20000000,0.5,4.194304,0,50,4,ok,41.63906931877136,
Dpd=10MB|R=50|alpha=0.5,Centralized,13,2873513115,10MB,0.5,50,8.84964208106976,8.84964208106976,10485760,1.0,4.194304,0,1,4,ok,8.850090026855469,
Dpd=10MB|R=50|alpha=0.5,FL,14,3945718770,10MB,0.5,50,41.6370064279763,41.636781482142396,20000000,0.5,4.194304,0,50,4,ok,41.63725161552429,
Dpd=10MB|R=50|alpha=0.5,Centralized,14,3945718770,10MB,0.5,50,8.848613937967457,8.848613937967457,10485760,1.0,4.194304,0,1,4,ok,8.849100589752197,
Dpd=10MB|R=50|alpha=0.5,FL,15,456515516,10MB,0.5,50,41.635396395926364,41.635168813634664,20000000,0.5,4.194304,0,50,4,ok,41.635639667510986,
Dpd=10MB|R=50|alpha=0.5,Centralized,15,456515516,10MB,0.5,50,8.848302735947073,8.848302735947073,10485760,1.0,4.194304,0,1,4,ok,8.848766326904297,
Dpd=10MB|R=50|alpha=0.5,FL,16,1643935444,10MB,0.5,50,41.635868807090446,41.63563846796751,20000000,0.5,4.194304,0,50,4,ok,41.63611173629761,
Dpd=10MB|R=50|alpha=0.5,Centralized,16,1643935444,10MB,0.5,50,8.847111791023053,8.847111791023053,10485760,1.0,4.194304,0,1,4,ok,8.847578287124634,
Dpd=10MB|R=50|alpha=0.5,FL,17,3287835246,10MB,0.5,50,41.635010362952016,41.634768269374035,20000000,0.5,4.194304,0,50,4,ok,41.635249853134155,
